
=== Flow conditions ===
-- ue [m/s] = 869.1
-- pe [Pa] = 697.066
-- Te [K] = 55.2
-- Tw [K] = 97.5
-- Me = 5.83573
-- Taw [K] = 392.18
-- rhoe [kg/m^3] = 0.044
-- rhow [kg/m^3] = 0.0249108
-- delta [m] = 0.00124
-- Ny = 1000
-- mu_w [m^2/s] = 6.73838e-06
-- mu_e [m^2/s] = 3.60372e-06

=== Boundary layer values ===
-- Left:   delta = 0.00121917	 u_tau = 34.5228	 Re_tau = 155.598	 Cf = 0.00178664	 x = 0.050107
-- Center: delta = 0.00124	 u_tau = 34.4741	 Re_tau = 158.033	 Cf = 0.00178161	 x = 0.051107
-- Right:  delta = 0.00126077	 u_tau = 34.4265	 Re_tau = 160.457	 Cf = 0.00177668	 x = 0.052107

=== Left state ===
-- PI = 2.24693
-- T[1] = 97.5	T[Ny] = 55.2
-- rho[1] = 0.0249108	rho[Ny] = 0.044

=== Center state ===
-- PI = 2.24312
-- T[1] = 97.5	T[Ny] = 55.2
-- rho[1] = 0.0249108	rho[Ny] = 0.044

=== Right state ===
-- PI = 2.23942
-- T[1] = 97.5	T[Ny] = 55.2
-- rho[1] = 0.0249108	rho[Ny] = 0.044

-- Beginning interpolation
48.7559	0.00589341
49.1292	0.00595837
49.5067	0.00602416
49.8902	0.00609079
50.2758	0.00615828
50.6661	0.00622662
51.0623	0.00629584
51.4605	0.00636595
51.8639	0.00643696
52.2733	0.00650889
52.6848	0.00658175
53.1017	0.00665555
53.5248	0.00673031
53.9502	0.00680604
54.3811	0.00688276
54.8186	0.00696048
55.2584	0.00703921
55.7037	0.00711897
56.1562	0.00719979
56.6111	0.00728166
57.0713	0.00736461
57.5394	0.00744866
58.01	0.00753382
58.4855	0.00762011
58.97	0.00770755
59.4569	0.00779615
59.9484	0.00788592
60.4498	0.0079769
60.9539	0.0080691
61.4617	0.00816253
61.9809	0.00825722
62.5028	0.00835318
63.0279	0.00845044
63.5646	0.00854901
64.1052	0.00864891
64.6492	0.00875017
65.2036	0.00885281
65.7638	0.00895684
66.3274	0.00906229
66.9001	0.00916918
67.4808	0.00927754
68.0649	0.00938739
68.6564	0.00949874
69.2582	0.00961163
69.8638	0.00972607
70.4751	0.00984209
71.0979	0.00995973
71.7262	0.010079
72.3586	0.0101999
73.0033	0.0103225
73.6554	0.0104468
74.3114	0.0105729
74.9771	0.0107007
75.6525	0.0108303
76.3336	0.0109618
77.0221	0.011095
77.7214	0.0112302
78.4289	0.0113673
79.1411	0.0115063
79.8655	0.0116473
80.5984	0.0117903
81.3381	0.0119353
82.0876	0.0120824
82.8469	0.0122316
83.6151	0.012383
84.3906	0.0125365
85.1779	0.0126922
85.9739	0.0128501
86.779	0.0130104
87.5947	0.0131729
88.4197	0.0133378
89.2545	0.0135051
90.0987	0.0136748
90.956	0.013847
91.8213	0.0140217
92.6971	0.0141989
93.585	0.0143788
94.4839	0.0145612
95.3917	0.0147464
96.3106	0.0149342
97.2443	0.0151249
98.1874	0.0153183
99.1401	0.0155146
100.104	0.0157138
101.086	0.015916
102.076	0.0161211
103.076	0.0163293
104.09	0.0165407
105.121	0.0167551
106.161	0.0169728
107.211	0.0171937
108.275	0.017418
109.359	0.0176456
110.452	0.0178766
111.554	0.0181111
112.672	0.0183492
113.81	0.0185909
114.959	0.0188362
116.119	0.0190852
117.291	0.019338
118.487	0.0195947
119.696	0.0198553
120.916	0.0201198
122.148	0.0203884
123.401	0.0206611
124.672	0.020938
125.957	0.0212192
127.253	0.0215046
128.567	0.0217945
129.902	0.0220888
131.254	0.0223877
132.62	0.0226912
133.998	0.0229994
135.4	0.0233124
136.82	0.0236302
138.258	0.023953
139.712	0.0242808
141.18	0.0246138
142.673	0.0249519
144.184	0.0252953
145.714	0.0256441
147.262	0.0259984
148.827	0.0263582
150.415	0.0267237
152.023	0.027095
153.651	0.0274721
155.3	0.0278552
156.966	0.0282443
158.658	0.0286396
160.369	0.0290411
162.101	0.029449
163.855	0.0298634
165.63	0.0302844
167.432	0.0307121
169.253	0.0311466
171.096	0.031588
172.962	0.0320365
174.851	0.0324922
176.766	0.0329551
178.709	0.0334255
180.672	0.0339034
182.657	0.0343891
184.666	0.0348825
186.7	0.0353838
188.763	0.0358932
190.858	0.0364109
192.974	0.0369369
195.11	0.0374714
197.273	0.0380146
199.463	0.0385665
201.681	0.0391274
203.935	0.0396973
206.217	0.0402766
208.52	0.0408652
210.847	0.0414634
213.202	0.0420713
215.586	0.0426891
218.004	0.0433169
220.457	0.043955
222.938	0.0446035
225.447	0.0452626
227.98	0.0459324
230.541	0.0466131
233.132	0.047305
235.761	0.0480081
